xAcc,yAcc,zAcc,xGyro,yGyro,zGyro
-1776,-597,-598,-436,273,-436
-1631,-334,-644,-436,338,-436
-1163,137,-482,-436,436,-436
-1098,180,-303,-324,436,-365
-999,119,90,-114,436,-131
-871,309,268,-21,398,-47
-597,299,177,-145,290,-8
-226,-112,162,-129,301,-10
-680,-37,1051,33,211,81
-671,67,1077,12,-177,78
-578,-144,612,-77,-436,42
-733,-85,-475,-181,-436,75
-1132,-279,-1825,-382,-436,64
-515,-1214,-1961,-289,-436,-39
18,-852,-1961,93,-156,-29
-450,-69,-1961,-94,311,-19
-601,-526,-1926,-141,436,34
-735,-520,-1216,14,436,8
-450,-242,-569,83,436,-25
-230,-98,471,230,436,10
-778,408,1575,166,155,39
-325,236,762,-79,-172,14
-199,-165,7,-37,-232,35
-285,-18,-44,23,-249,51
-373,-108,-480,-117,-336,73
-551,-624,-1371,-247,-397,0
-136,-714,-1961,-124,-265,-60
95,-332,-1961,-40,97,-6
-219,-343,-1899,-72,297,24
-156,-465,-1373,38,353,24
-129,-203,-889,138,414,36
8,-58,38,175,400,22
-572,485,1961,58,163,76
-95,-141,257,-7,-132,10
-203,-82,-192,15,-140,2
-185,-185,-242,-86,-109,-21
-171,-295,-96,-5,-114,-6
-310,-135,-118,57,-211,45
-402,-182,-294,39,-277,78
-517,-377,-455,30,-304,95
-638,-460,-504,164,-340,126
-587,-310,-561,218,-322,160
-644,-496,-374,251,-269,210
-899,-337,-321,321,-255,282
-1019,-317,-288,194,-239,254
-1083,-479,-188,165,-231,221
-1143,-322,-139,243,-224,253
-1230,-194,-101,251,-229,321
-1134,-342,-102,279,-216,369
-1096,-411,-80,405,-107,400
-1224,-233,33,436,-24,414
-1255,2,46,436,4,421
-1214,128,135,436,65,393
-1210,152,278,238,143,308
-1179,89,333,-20,160,166
-1149,-94,296,-233,139,21
-1077,-203,250,-297,99,-75
-1024,-191,220,-271,67,-121
-998,-146,185,-223,25,-127
-879,-2,108,-237,32,-152
-895,65,117,-333,76,-223
-853,161,99,-380,83,-241
-873,22,125,-275,85,-169
-947,3,146,-79,42,-113
-952,71,81,114,-5,-53
-864,246,66,248,4,-20
-882,461,145,240,32,0
-912,534,305,124,36,25
-978,388,350,-30,23,11
-958,138,198,-38,-4,14
-948,42,113,25,-24,38
-919,20,52,80,-41,47
-876,62,35,127,-41,52
-888,98,61,133,-42,56
-889,90,88,102,-38,37
-910,62,87,81,-39,8
-916,128,77,81,-49,-8
-884,214,123,60,-41,-8
-886,270,111,42,-30,-6
-844,263,107,34,-9,13
-885,229,147,33,10,28
-909,212,163,4,9,27
-897,130,136,-28,4,16
-919,66,109,-32,-5,-1
-891,112,121,-34,-14,-21
-891,116,121,-61,-3,-32
