xAcc,yAcc,zAcc,xGyro,yGyro,zGyro
-667,-453,35,-46,29,-84
-673,-299,135,12,-24,-33
-463,-271,148,-41,-79,-37
-290,-267,112,-83,-91,-35
-119,-255,3,-158,-101,-39
143,-351,-97,-99,-115,-13
443,-291,-226,18,-34,21
530,-164,-322,78,106,66
495,-92,-525,65,212,120
527,-172,-928,-6,297,123
715,-309,-1565,-57,356,79
984,-397,-1961,116,436,-13
411,-62,-1961,268,436,-7
-125,135,-1961,143,436,-41
-719,142,-1961,-188,436,-23
-1800,-336,-1961,-346,436,60
-1961,-575,-1961,-127,436,225
-1961,-1185,-320,436,436,148
-1961,703,-94,271,-294,-350
-1307,752,-347,-82,-436,-48
-893,278,-738,-248,-436,155
-144,27,-1784,-436,-436,297
1807,-1229,-1961,-436,-436,6
1961,-172,-1961,-93,-335,-368
1961,-328,-1961,20,436,180
810,-382,-1631,351,436,-48
391,179,-1308,134,436,-100
-500,-261,-1720,-52,436,-36
-1536,-77,-1961,132,436,28
-1961,-27,-1961,216,436,270
-1961,-225,-1136,199,436,184
-1961,-31,-552,152,-131,-67
-1496,331,-356,26,-436,-32
-748,525,-813,-26,-436,168
-393,308,-1021,-425,-436,296
31,-440,-1961,-436,-436,220
601,-1113,-1626,-436,-436,39
1961,-1060,-1961,-204,-421,-209
1961,-605,-1961,223,115,-114
1835,-123,-1961,410,395,-110
827,192,-1580,229,436,-95
-8,-235,-1358,107,436,-68
-380,-91,-1882,238,436,-104
-1210,1,-1961,164,436,136
-1961,-448,-1961,104,436,148
-1961,-531,-441,155,436,20
-1862,-70,-384,239,-207,-75
-941,367,-217,130,-436,-6
-455,455,-430,-16,-436,127
-385,359,-746,-323,-436,135
-308,64,-1662,-405,-436,255
-352,-279,-1554,-237,-436,308
-305,-94,-1817,-44,-436,404
-582,-234,-1645,-138,-436,423
-471,-426,-1528,-203,-436,319
-387,-375,-1042,-219,-278,183
-415,-299,-640,-264,-98,59
-636,-433,-53,-220,-7,-42
-806,-195,-192,-139,-67,-109
-764,-172,14,-221,-51,-108
-814,-288,141,-124,25,-123
-883,8,390,-68,38,-117
-823,71,348,-232,-22,-105
-597,-229,272,-229,-20,-66
-664,-324,286,-102,77,-45
-883,-215,377,-5,81,-6
-937,-263,320,54,39,26
-975,-177,278,126,60,26
-1052,-10,280,136,68,5
-1016,3,253,82,32,6
-957,16,274,135,58,-1
-977,252,339,122,44,-2
-1064,105,330,38,1,24
-997,-1,145,188,-46,60
-926,257,44,159,-8,23
-988,115,91,73,-36,19
-865,42,19,127,-44,14
-891,141,38,140,-42,3
-865,199,28,96,-45,-3
-839,192,20,55,-29,3
-828,225,33,10,-2,1
-852,143,48,-107,22,-8
-877,-38,43,-120,23,-10
-886,-70,21,-43,27,-6
-902,23,24,-23,24,-5
-908,0,15,-31,27,-2
