xAcc,yAcc,zAcc,xGyro,yGyro,zGyro
-1058,-196,342,139,7,-75
-903,-19,382,84,-49,-71
-716,-99,279,-45,-120,-69
-472,-211,119,-68,-159,-64
-269,-208,12,-45,-124,-32
-187,-227,15,-3,-63,2
-222,-234,59,25,-37,32
-195,-229,1,14,-65,37
-131,-218,-59,26,-41,39
-242,-205,-79,2,72,34
-466,-269,-52,14,134,37
-613,-228,-143,23,190,42
-816,-339,-411,-19,244,73
-855,-451,-488,-46,165,17
-395,-411,-1151,-29,109,-14
20,-652,-1822,81,59,15
804,-411,-1961,275,327,-64
28,-119,-1961,132,436,-173
-999,93,-1961,23,436,-170
-1647,199,-1939,-132,436,-103
-1961,-253,-1705,-436,436,-64
-1961,-1223,-1788,-237,436,88
-1961,-910,-904,296,202,141
-1961,-94,-90,368,-153,-11
-1961,656,-200,-74,-436,-41
-1498,110,-666,-314,-436,63
-861,-292,-1717,-289,-436,78
545,-509,-1961,-193,-436,153
1943,-927,-1961,-6,-436,-61
1961,94,-1961,-28,-52,-103
1553,-774,-1961,53,431,5
537,-34,-1961,257,436,-112
-422,35,-1651,148,436,-40
-1492,-16,-1961,-42,436,-41
-1961,-428,-1961,-135,436,57
-1961,-1039,-1491,340,436,183
-1961,542,-121,436,7,25
-1961,405,-268,-112,-436,-82
-1952,349,-699,-119,-436,-11
-1144,323,-1157,-170,-436,189
-417,-342,-1961,-436,-436,193
773,-896,-1961,-354,-436,57
1961,-493,-1961,-174,-337,-190
1961,-752,-1961,199,84,16
1917,155,-1961,308,367,-222
721,289,-1859,19,436,-8
-472,-230,-1815,26,436,36
-1248,-28,-1961,76,436,26
-1961,-149,-1961,-3,436,129
-1961,-808,-841,151,436,162
-1961,-68,-94,383,12,-67
-1808,573,-175,-36,-397,-77
-1138,235,-412,-184,-436,-38
-735,181,-751,-172,-436,32
-1064,-94,-871,-254,-436,115
-1155,-348,-1470,-130,-436,172
-837,-477,-1847,94,-436,258
-683,-290,-1406,96,-436,250
-706,-214,-1158,-1,-429,206
-602,-115,-803,-93,-304,131
-491,-15,-530,-312,-200,30
-418,-84,-452,-436,-123,-43
-395,-202,-374,-436,-45,-88
-460,-245,-170,-436,46,-48
-710,-572,-99,-193,88,73
-697,-474,146,46,120,84
-860,-348,329,91,173,77
-913,-147,420,103,88,78
-760,-128,293,-20,41,93
-801,-441,229,19,105,102
-1062,-298,378,166,141,103
-1225,-211,391,159,59,93
-1024,-261,257,123,16,46
-987,-250,172,197,30,5
-1007,-57,128,294,37,-13
-1038,144,126,353,24,-5
-970,305,162,316,-19,20
-872,444,178,195,-26,6
-889,393,99,-66,-15,-18
-860,92,10,-192,-15,-27
-860,-59,-44,-105,-14,-20
-867,-49,-38,13,-8,5
-893,72,28,56,-4,17
-889,78,61,0,-8,19
-887,-19,46,-1,-8,15
-913,63,63,-4,-6,4
