xAcc,yAcc,zAcc,xGyro,yGyro,zGyro
-1882,14,928,85,-436,-107
-1482,136,759,139,-436,17
-875,361,470,158,-436,27
-960,341,822,-65,-436,181
-536,126,615,-9,-436,197
102,41,184,-93,-431,215
194,-177,509,-36,-79,181
-462,-85,964,133,-18,202
-244,87,662,50,-97,266
34,12,409,-268,11,274
-583,-295,1254,-384,134,258
-799,-574,1562,-307,19,178
-198,-652,985,-142,-3,70
-225,-476,1110,76,59,6
-257,-255,1306,177,26,-45
-182,-1,1188,157,25,-79
-173,135,1116,59,21,-70
-254,53,1159,-37,54,-50
-231,20,1162,2,42,-44
-319,78,1151,-11,76,-30
-353,9,1144,-46,93,-28
-423,-7,1173,-16,77,-42
-98,96,812,-23,98,-29
-450,-11,1047,-62,224,-31
-475,23,1042,-30,110,-13
-14,91,661,-124,196,20
-160,-257,379,-188,436,41
-970,-494,232,-67,436,4
-1961,-429,683,3,436,-111
-1299,-270,474,-114,94,-86
-1329,-764,274,-189,228,-155
-1718,-1086,212,-219,204,-246
-1780,-1781,-192,-187,129,-366
-1622,-1748,-211,155,75,-433
-1383,-1489,71,258,39,-436
-1251,-1694,390,165,-57,-436
-870,-1398,314,430,-129,-436
-616,-602,449,436,-120,-436
-576,-182,582,436,-219,-436
-340,92,661,429,-436,-436
252,284,476,160,-436,-415
657,10,348,-40,-398,-358
746,-293,210,-46,-301,-292
569,-315,239,171,-289,-251
761,-192,237,357,-276,-189
799,-4,244,423,-198,-140
989,158,339,435,-88,-92
709,477,680,392,-19,-53
716,598,422,183,35,0
476,297,664,18,197,-6
113,238,1290,40,237,-8
455,97,1083,106,80,13
664,103,1015,58,48,25
765,-95,926,-98,14,-18
739,-197,639,-12,-72,-74
853,44,363,229,-93,-89
1065,567,539,273,-10,-40
1081,733,604,-34,9,6
1032,144,568,-201,26,22
955,-28,635,-37,-3,-1
1013,261,653,82,-29,-1
987,355,735,-58,-22,5
1041,184,742,-146,-38,18
1183,166,772,-150,30,61
604,494,1211,-260,74,73
628,327,990,-436,-15,72
656,-176,647,-436,95,96
170,-69,830,-189,191,61
256,85,733,-224,36,110
762,-12,269,-265,139,115
533,-111,191,-222,351,102
145,91,296,-147,379,160
92,168,276,-228,200,224
362,3,25,-289,126,303
350,-131,7,-199,247,404
138,-100,394,-76,286,436
-266,-379,955,-142,342,436
-764,-635,1126,-177,380,436
-1331,-1188,915,-413,203,436
-1212,-1669,541,-296,-98,436
-1002,-1782,292,-202,13,436
-1020,-1510,244,56,35,425
-860,-826,194,54,212,436
-1316,-769,82,-51,427,436
-1666,-694,176,-12,398,367
-1628,-477,266,-67,193,234
