xAcc,yAcc,zAcc,xGyro,yGyro,zGyro
-842,276,734,-227,-168,159
-746,1,729,-151,-146,104
-415,-8,544,34,-157,97
-256,217,536,36,-82,92
-246,30,569,-25,-37,81
-175,-72,505,22,6,54
-416,35,579,12,50,8
-514,38,711,20,61,-18
-623,104,766,27,64,-34
-686,101,779,0,59,-63
-560,120,714,-1,87,-92
-527,141,662,-16,173,-96
-635,92,684,-69,252,-100
-731,5,669,-112,330,-114
-1632,2,753,-18,421,-134
-1866,220,1025,124,372,-124
-1350,-127,1004,95,400,-82
-1946,-556,1279,135,306,-152
-1961,-637,1609,267,-2,-300
-1961,28,1723,376,-414,-428
-1961,1,1278,-61,-436,-436
-1608,-454,965,-189,-436,-436
-747,-464,789,-105,-436,-436
-789,43,730,-54,-436,-436
-682,371,298,0,-436,-436
-116,200,-160,61,-436,-436
447,-54,-188,35,-436,-305
789,-128,-253,-81,-436,-237
639,-530,-110,4,-301,-220
460,-192,-63,182,-212,-223
620,351,-74,160,-66,-196
381,148,231,106,187,-41
234,-130,543,167,257,-11
67,27,693,280,346,-91
10,537,1170,296,365,-88
771,539,1718,171,350,48
452,31,1961,-187,69,267
862,-932,692,-99,-93,70
1133,-81,702,63,93,-88
582,253,1585,-16,74,-49
878,164,1077,-38,-66,40
963,-82,785,-71,7,52
728,-84,1135,-26,27,20
785,-102,1123,-33,-37,19
999,23,1028,-91,-8,47
734,-122,978,-114,83,79
529,-223,898,-86,178,71
-425,-116,1214,-91,238,33
-275,-265,1084,-71,127,-32
160,-93,590,-161,219,-180
13,-54,414,-120,321,-200
-177,-40,768,-72,214,-129
577,-149,700,54,156,-101
646,443,587,15,158,-32
466,113,771,-142,186,126
760,-73,807,-31,201,203
296,148,850,-37,373,379
-345,-786,1293,-127,433,363
-549,-661,1254,23,249,242
-298,-447,1141,90,304,358
-310,-445,1218,173,350,282
-474,34,1218,124,415,226
-1213,-252,1511,-85,429,118
-1038,-357,1226,14,266,130
-959,-57,928,239,247,210
-934,364,684,201,374,194
-1224,388,596,-38,436,101
-1816,10,661,-222,436,13
-1743,-374,665,-156,413,52
-1281,-139,628,-67,261,-22
-1160,-7,597,-65,97,-13
-928,-36,368,-52,-13,0
-898,8,180,-46,-41,-23
-889,-28,117,-13,-13,-37
-939,182,125,-10,-11,-79
-895,235,127,-37,11,-53
-976,73,163,-7,3,-4
-897,72,100,53,-28,-7
-894,111,44,78,-30,17
-830,-9,36,124,-24,40
-801,105,157,166,-5,28
-881,161,212,172,-12,39
-1047,162,149,155,-59,36
-922,258,75,121,-62,17
-855,303,147,53,-26,17
-774,164,111,8,-20,15
