xAcc,yAcc,zAcc,xGyro,yGyro,zGyro
-1676,1071,663,-12,-436,80
-213,395,-58,-265,-436,114
574,-322,-459,-137,-239,97
-141,-122,845,4,13,46
-119,-92,800,68,-115,-18
56,142,360,6,-75,20
-12,-146,567,-19,16,93
-31,-120,1040,-30,31,65
-319,-89,1552,8,50,24
-478,100,1640,27,49,2
-362,70,1488,0,12,-13
-29,-62,1023,0,15,-31
102,-7,731,41,68,-50
217,45,416,37,201,-52
-224,232,524,-36,371,-27
-38,-26,419,-48,436,17
-292,286,-48,-125,436,13
-1241,290,-137,-230,436,48
-1930,42,69,-262,436,84
-1961,-204,430,-124,436,47
-1961,-103,760,52,376,28
-1852,171,478,114,-48,34
-1783,239,50,57,-296,28
-613,-110,-356,93,-195,63
-379,-291,-248,28,92,24
-988,-502,30,-82,193,-81
-1889,-568,392,-185,98,-216
-1961,-565,482,-206,-241,-361
-1961,-868,324,-46,-436,-436
-1961,-1190,132,243,-436,-436
-1468,-744,156,360,-436,-436
-1222,-144,708,168,-436,-436
-799,314,798,103,-436,-436
425,424,546,-107,-436,-436
332,33,502,-255,-436,-436
581,22,193,-201,-436,-436
726,235,-61,-173,-427,-411
868,-164,-339,-161,-339,-302
915,-280,-378,-55,-236,-302
1048,-28,-246,11,-107,-263
747,-174,205,61,-44,-235
658,148,52,136,-27,-293
786,533,95,230,262,-176
49,635,1480,262,436,38
-4,8,1961,304,353,136
1424,-433,1920,230,18,215
19,-1124,1074,-49,-160,58
481,150,-319,84,-66,-382
1233,1250,644,82,158,-106
355,402,1190,-58,-16,193
1100,-291,103,21,-10,72
733,149,671,39,115,-31
652,389,1009,-56,67,11
588,160,1090,-142,-10,69
756,147,1049,-206,0,78
484,-80,1356,-221,-73,91
806,-207,902,-173,28,146
344,-302,911,-119,187,129
427,-136,763,-75,254,99
661,1,473,-149,374,56
340,-179,408,-143,409,56
629,-13,307,-86,419,127
618,303,214,-148,436,251
295,48,315,-260,436,370
-207,-224,652,-202,436,436
-441,-483,943,-156,436,436
-687,-312,1134,-282,380,436
-886,-457,794,-436,200,436
-1565,-1477,805,-358,84,436
-957,-1435,605,-135,-5,426
-966,-1248,532,61,20,189
-1017,-633,643,343,93,228
-1250,72,816,269,155,244
-1388,114,805,94,203,297
-1532,-249,876,72,281,351
-1798,-482,1104,79,170,311
-1424,-610,829,8,-18,123
-1182,-451,659,-50,-85,-72
-1021,-166,559,-73,-79,-202
-906,44,482,-63,-38,-229
-860,135,497,-46,3,-186
-844,155,529,-34,16,-127
-852,111,541,-29,2,-80
-846,45,511,-19,-20,-51
-840,16,479,-6,-32,-39
-840,23,460,0,-31,-31
