xAcc,yAcc,zAcc,xGyro,yGyro,zGyro
-1108,-598,-469,-228,306,-214
-1106,-557,-456,-147,320,-211
-1052,-393,-400,-104,305,-200
-853,-292,-288,-72,302,-184
-715,-162,-57,-58,300,-162
-637,-111,200,-30,256,-123
-539,-40,341,-12,176,-86
-445,-30,399,2,103,-44
-395,-16,481,30,30,-1
-371,58,505,19,-41,40
-447,-42,449,-18,-113,71
-623,-38,367,-32,-197,106
-709,-147,62,-49,-275,136
-861,-151,-173,-66,-320,159
-947,-299,-460,-74,-358,186
-1060,-380,-706,-86,-369,203
-1145,-626,-1148,-133,-349,190
-968,-917,-1418,-97,-277,149
-976,-779,-1534,-83,-187,107
-767,-1064,-1791,-79,-96,47
-652,-928,-1612,0,41,-8
-666,-807,-1312,19,141,-48
-781,-720,-1087,28,197,-88
-894,-524,-1021,25,242,-116
-958,-461,-984,20,289,-128
-1063,-357,-859,24,328,-134
-1060,-271,-654,30,359,-133
-1009,-197,-367,36,367,-126
-909,-99,-90,60,340,-105
-750,-51,172,65,290,-81
-666,7,427,37,204,-63
-501,7,523,23,95,-32
-400,15,520,6,6,3
-402,-34,488,-23,-72,34
-443,-127,398,-34,-152,58
-581,-161,276,-36,-232,82
-715,-219,19,-36,-314,105
-802,-301,-214,-27,-347,121
-960,-247,-307,-11,-367,141
-1041,-319,-556,-27,-405,171
-1117,-438,-813,-43,-381,183
-1140,-532,-1073,-81,-339,170
-1089,-816,-1454,-114,-275,132
-964,-906,-1654,-90,-158,73
-791,-912,-1684,-61,-31,17
-714,-889,-1460,-17,97,-29
-794,-701,-1122,0,186,-72
-883,-661,-1036,2,225,-99
-987,-538,-987,23,276,-118
-1092,-444,-894,28,318,-127
-1130,-406,-733,31,353,-134
-1096,-297,-485,45,372,-135
-998,-242,-206,42,357,-128
-877,-190,72,58,304,-114
-644,-54,249,49,240,-92
-524,-44,314,-2,162,-59
-424,-158,184,-9,102,-37
-351,-169,112,0,62,-23
-305,-121,160,-11,32,-4
-320,-149,233,-18,-15,17
-414,-161,277,-20,-100,46
-524,-216,182,-28,-200,77
-628,-328,16,2,-285,109
-722,-364,-83,72,-334,134
-968,-359,-251,125,-403,175
-964,-464,-442,179,-428,212
-999,-482,-455,207,-382,240
-1149,-576,-370,240,-330,266
-1199,-726,-274,290,-313,285
-1130,-680,-150,360,-274,272
-1154,-497,-19,351,-217,276
-1080,-453,118,299,-152,252
-1061,-368,253,236,-93,202
-1061,-275,338,177,-47,163
-1057,-230,389,132,-17,136
-1033,-211,428,110,2,111
-1009,-173,452,101,17,86
-996,-133,478,90,25,62
-980,-81,494,70,27,40
-984,-52,508,38,27,16
-978,-6,511,2,21,-9
-955,24,495,-34,15,-31
-939,55,482,-61,9,-46
-926,69,462,-71,1,-53
-908,89,453,-65,-5,-53
-877,136,455,-51,-13,-48
