t_mean_x_acc,t_std_deviation_x_acc,t_rms_x_acc,t_75_q_x_acc,f_mean_x_acc,f_max_x_acc,f_spectral_centroid_x_acc,f_average_E_per_coeff_x_acc,t_mean_y_acc,t_std_deviation_y_acc,t_rms_y_acc,t_75_q_y_acc,f_mean_y_acc,f_max_y_acc,f_spectral_centroid_y_acc,f_average_E_per_coeff_y_acc,t_mean_z_acc,t_std_deviation_z_acc,t_rms_z_acc,t_75_q_z_acc,f_mean_z_acc,f_max_z_acc,f_spectral_centroid_z_acc,f_average_E_per_coeff_z_acc,t_mean_x_gyro,t_std_deviation_x_gyro,t_rms_x_gyro,t_75_q_x_gyro,f_mean_x_gyro,f_max_x_gyro,f_spectral_centroid_x_gyro,f_average_E_per_coeff_x_gyro,t_mean_y_gyro,t_std_deviation_y_gyro,t_rms_y_gyro,t_75_q_y_gyro,f_mean_y_gyro,f_max_y_gyro,f_spectral_centroid_y_gyro,f_average_E_per_coeff_y_gyro,t_mean_z_gyro,t_std_deviation_z_gyro,t_rms_z_gyro,t_75_q_z_gyro,f_mean_z_gyro,f_max_z_gyro,f_spectral_centroid_z_gyro,f_average_E_per_coeff_z_gyro
0.2731616572798084,0.349160246341303,0.6460987997739078,0.029122231337161575,0.44435126630385124,0.22278264183920418,0.20714800824592877,0.5058865838032212,0.6750184847763775,0.8038026809286716,0.7152391574896111,0.6279615153337342,0.5191620493372392,0.36343646592252365,0.45638358317501776,0.2763032289265,0.4802409932481186,0.6157526917760743,0.5577884264433242,0.41637406868202453,0.19955589545253857,0.43098191263510305,0.317010200784359,0.20232988150402587,0.3001348312099674,0.41711965847989724,0.4201974520149083,0.05834063686824423,0.39620944809858144,0.3164807204429668,0.26219559864953507,0.12028860940583447,0.474086501172685,0.5153297526957602,0.49245060049801415,0.2956369982547993,0.21332868337062766,0.29082380903662514,0.2011221143453232,0.1838619753615774,0.5779807263986245,0.5523824067980069,0.5329007582435615,0.2765547433024026,0.19539668233852528,0.5491884703726551,0.19589116774974888,0.2469483367795105
0.27871059438706774,0.4362828622026768,0.6706231615679422,0.06449958982772763,0.5393088014137596,0.2020831263968346,0.22145406629901804,0.6081240198881395,0.7799413404784961,0.7814851980881505,0.6561255115853327,0.6568851473241131,0.42246197422010046,0.7055978433695023,0.47118254185682146,0.2665652313713478,0.36123135341687834,0.6520770477904406,0.6366616773786659,0.33570266335531385,0.2587693497817167,0.5695290519657872,0.32648062443330894,0.33674773263214897,0.2866128846791486,0.453595488508937,0.4569738790700372,0.09485831142272858,0.5285516073143689,0.3436575116807025,0.29368267892122835,0.16581145342450676,0.49423531347598576,0.5687223063932973,0.5438400065605664,0.36707388016288534,0.2780435436197911,0.545375431099431,0.22899561603130988,0.26182746210197066,0.4901327523642146,0.5161093892959868,0.4993463337168145,0.0789887099139105,0.19905824931183538,0.5067235147853961,0.24077910138938993,0.2551179418774799
0.28317665114259594,0.49736075211586156,0.690766136018045,0.06301271534044295,0.7077803212533664,0.09808025288259267,0.40215428195245384,0.6272928129042981,0.7503378724517251,0.7735021003951571,0.6571714434457967,0.6578472639807577,0.45026444696708917,0.2737551140900835,0.6100655276804576,0.2763615716184094,0.2853920777094133,0.4729316766023094,0.5389975367917773,0.16416887899289206,0.22674065916947214,0.34852286716384984,0.33004408001965424,0.3000823852392593,0.19303329267603353,0.4214247254974689,0.44021703313422883,0.06555652936021034,0.1766322318765389,0.21539958315735933,0.29118789606511664,0.16593353093091193,0.5519711180882584,0.3964255653910325,0.3821815015750491,0.36899360093077366,0.3334065027224976,0.1766449994083401,0.3026429709037401,0.13449620053234318,0.5337616506672075,0.7200561599142236,0.6948189574621889,0.11801177185228631,0.5009748325599855,0.5654143828839572,0.23276212109037003,0.4963326941953722
0.0,0.7035836798609074,0.9917985083250593,0.0411710418375717,0.7906402713540299,0.2656523202245884,0.30742665632726035,1.0,0.8320222092836538,0.8943468295887536,0.7609616670585613,0.7373421527360192,0.5794898695562721,0.6983137039730629,0.6376002270912532,0.3243285414171836,0.3092566658818375,0.6494414317267008,0.6619416816250355,0.28611800976278157,0.14140550353902265,0.5851667823653316,0.3108769778049249,0.3821170452135778,0.1408485543224257,0.3417727350856028,0.37907923088064344,0.04183464796961728,0.07671836304556173,0.28029746800870503,0.22360843343762818,0.13302701273261527,0.5440383159595211,0.562725710604378,0.5400251804017532,0.41140197789412447,0.43415591293636324,0.23542770270173458,0.23351390221344467,0.2599966373615824,0.3763285871670812,0.8259360257710084,0.8024713478699759,0.015248947445591854,0.6583118810411197,0.6761930704598935,0.4463117861249816,0.6616652026165769
0.17574491678351778,0.5382221062328613,0.7890438401890283,0.028660787530762927,0.7682582583353152,0.21333173629329333,0.38087531652388806,0.741595466445876,0.8628085447449924,0.7392374940208857,0.5915665544592204,0.7993986770895971,0.3890152116505942,0.5094225552556095,0.5716138793188815,0.21796876699126558,0.3290648325928356,0.5550568600354356,0.5729066520372498,0.19568382289971745,0.1106356857247783,0.4241485028218729,0.3501808063218341,0.29947032642887006,0.1212747178121461,0.408833145161837,0.4432932087639856,0.10680689453695585,0.06277895258619301,0.3182071319142567,0.24311096754166045,0.17546810979933009,0.49982843476545313,0.5206772420089503,0.49792671020425794,0.4414194299011053,0.44412537266383545,0.20903030753488888,0.2399175455897707,0.21999394645353992,0.523662547446918,0.6924520463001386,0.6683404639125285,0.09073961584382399,0.4885372504539861,0.48859488801037054,0.20490384032549802,0.4536052897286835
0.19098150402749986,0.48421213841099753,0.7563277271647646,0.04363207547169806,0.7077609339278434,0.1336815294690429,0.33525175343637564,0.6525311047428366,0.8229359560215574,0.8688994819233935,0.7361311365312522,0.7390258568851473,0.46799975676553773,0.3760593187929434,0.5542467311412635,0.2839236389693716,0.30169536170807976,0.5271194439683433,0.568288445087607,0.1783848591247752,0.21887014385975237,0.405165334446755,0.2764644857558466,0.28474222361997176,0.29568969754183577,0.3040213103383528,0.3126050913151701,0.06999707858603563,0.1925944073397544,0.17508410767462754,0.22920340030389968,0.07525637201498245,0.5519106616434846,0.46471204762061874,0.44710110671755965,0.38778359511343796,0.2799992582611531,0.18888828467204982,0.2051256984001832,0.16582861274295121,0.5154693122182449,0.72099010852647,0.6959969143860926,0.08864498020569322,0.5464641303673752,0.41669283384405464,0.1943830903514558,0.45309929571901364
0.21124981042997737,0.4580637976907321,0.7309841999690572,0.02004716981132068,0.6661399491546893,0.11341850177115234,0.34029733007615387,0.6731458457280909,0.8182113706289931,0.8633317400654357,0.7313383453602241,0.756885147324113,0.580209988400384,0.6271663890242615,0.648021384693839,0.3027516568280956,0.4006582382601195,0.5678310886641733,0.5448406762981297,0.3947503639633468,0.17646085014407437,0.5013893253383637,0.26537815915112906,0.24615935138665818,0.3227226257408395,0.3881362513774506,0.3896494562638593,0.07630733274905055,0.1891630564041517,0.2241907802326869,0.2871288784153107,0.11894943340458874,0.5559704111538928,0.47729192675781806,0.45939764539164757,0.2219022687609075,0.27777179581279904,0.18185891813610477,0.22331452149517705,0.1876042781679858,0.4931188404584116,0.6923259192166967,0.6688875532685488,0.06510127563310364,0.5861416520458476,0.5203099429577185,0.22267014889133416,0.44932387202872404
0.04078184678598318,0.5877286082079727,0.911795254739752,0.028660787530762927,0.7501977224333501,0.46409622752551205,0.26875334386546906,0.7385023164511206,0.8982038158382858,1.0,0.8625758354944681,0.8020444978953698,0.4743239614509017,0.7744299146950513,0.47832879522652333,0.3142677922284908,0.33474603888268206,0.6034002430536461,0.6092898081540091,0.23507750278324918,0.1433084786465033,0.452444754813661,0.2806829972419109,0.2651897947586438,0.13833721168938568,0.5275071811482162,0.5489603938745112,0.09395267309377739,0.30566733556619285,0.2900127141295604,0.18870195545967533,0.20505096741703777,0.5316748812776405,0.4959302653538772,0.4755212827004538,0.47434554973821985,0.38702764641958126,0.35180321851096347,0.16813579689978522,0.16475369886876046,0.445539550910893,0.8293641552386264,0.8023770822415028,0.2471670052994282,0.3125329877054156,0.5823256874099579,0.44992153869076523,0.5351900220914853
0.3105488499512578,0.32845413003710944,0.6100751604477692,0.013433141919606262,0.4083226862313305,0.3336397609592299,0.20186947949756584,0.5548186919928693,0.7768452687984287,0.6631401642248919,0.5360897093456929,0.679795550210463,0.3608618611960605,0.6250265428158019,0.4830019820108038,0.20089334466127345,0.36716835926813124,0.38219603360124416,0.41213898981842645,0.2599554680140447,0.19704835340557855,0.3401895872670544,0.2671259699206272,0.17582124233599628,0.4011829980550004,0.5734201658456247,0.5659641243317003,0.19725387087350277,0.5520066799405174,0.27166908686840185,0.26847833285724265,0.24295640746014477,0.5646055587363974,0.42385743765123707,0.4094163455590973,0.3696916812100058,0.09402435608148832,0.34121378659745843,0.18978884695282466,0.1525643713943764,0.4653304231748465,0.6003543496741579,0.5813678229867552,0.015646928216836692,0.13808710405795982,0.5668175173311722,0.18242379009951973,0.34591119360110123
0.27649890113848197,0.3777003728979912,0.6522817144162153,0.012664068908941672,0.43877816626705746,0.38146220471452563,0.19708478138798802,0.6301615271896024,0.8094029673956395,0.7160541278580297,0.5801767378068188,0.708959711365003,0.33381104779278264,0.5826777531102159,0.4433825686289434,0.23089689513811756,0.39561526388524454,0.4315801907094364,0.43241513183095426,0.2852616254174874,0.17954590894449163,0.37569655790414463,0.22427003695760717,0.1862250438960312,0.3167378765205893,0.483698181251419,0.48308474553838426,0.14770669003797837,0.4693556635815583,0.388589572981293,0.2616200189254,0.19155179646059203,0.5190587867090257,0.473888360764206,0.4538121497805305,0.33903432228039554,0.1562912231382526,0.4641691023389083,0.16796395411180579,0.19340070619796437,0.4371545906103789,0.6102350935000256,0.5922472944259808,0.00821097170147253,0.14761369445289274,0.8287736801748833,0.21439494541748488,0.379401736757879
